to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW-Eau Claire,,3.00,NDC,No Degree Credit,BUSADM (102) 103,Wis. Indianhead Tech. College,,Money and Banking,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,BUSADM (102) 107,Wis. Indianhead Tech. College,,Principles of Finance,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,BUSADM (102) 150,Wis. Indianhead Tech. College,,Investments,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,BUSADM (102) 192,Wis. Indianhead Tech. College,,Principles of Insurance,5
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI (809) 100,Wis. Indianhead Tech. College,,Human Relations,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 110,Wis. Indianhead Tech. College,,Introduction to Sociology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 115,Wis. Indianhead Tech. College,,Introduction to Psychology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 116,Wis. Indianhead Tech. College,,Developmental Psychology,5
UW Branch Campus,,1.00,NDC,No Degree Credit,SOCSCI (809) 118,Wis. Indianhead Tech. College,,College Success Strategies,5
UW Branch Campus,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,Wis. Indianhead Tech. College,"UCTA,SS",Intro to Amer Government,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,Wis. Indianhead Tech. College,,Marriage & Family,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 150,Wis. Indianhead Tech. College,,Studies-Native American Cultre,5
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,Wis. Indianhead Tech. College,,Abnormal Psychology,
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,Wis. Indianhead Tech. College,"UCTA, EL",Intro to Ethics: Theory & App,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 170,Wis. Indianhead Tech. College,,Workplace Reality,5
UW Branch Campus,L,2.00,GEN EL,General Elective,SOCSCI (809) 171,Wis. Indianhead Tech. College,SS,Workplace Reality,
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,Wis. Indianhead Tech. College,"SS, UCTA",Intro to Diversity Studies,22
UW Branch Campus,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,Wis. Indianhead Tech. College,SS,Social Problems,
UW Branch Campus,L,3.00,ECO EL,Economics Elective,SOCSCI (809) 175,Wis. Indianhead Tech. College,SS,Economics,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 177,Wis. Indianhead Tech. College,,American Institutions,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 185,Wis. Indianhead Tech. College,,Contemporary Social Issues,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 186,Wis. Indianhead Tech. College,,Contemporary Political Issues,5
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,Wis. Indianhead Tech. College,SS,Developmental Psychology,
UW Branch Campus,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,Wis. Indianhead Tech. College,"UCTA,SS",Economics,22
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,Wis. Indianhead Tech. College,"SS, UCTA",Intro to Sociology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,Wis. Indianhead Tech. College,SS,Contemporary American Society,
UW Branch Campus,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,Wis. Indianhead Tech. College,"UCTA,SS",Intro to Psychology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,Wis. Indianhead Tech. College,SS,Psychology of Human Relations,
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI (809) 100,Wis. Indianhead Tech. College,,Human Relations,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 110,Wis. Indianhead Tech. College,,Introduction to Sociology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 115,Wis. Indianhead Tech. College,,Introduction to Psychology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 116,Wis. Indianhead Tech. College,,Developmental Psychology,5
UW Branch Campus,,1.00,NDC,No Degree Credit,SOCSCI (809) 118,Wis. Indianhead Tech. College,,College Success Strategies,5
UW Branch Campus,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,Wis. Indianhead Tech. College,"UCTA,SS",Intro to Amer Government,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,Wis. Indianhead Tech. College,,Marriage & Family,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 150,Wis. Indianhead Tech. College,,Studies-Native American Cultre,5
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,Wis. Indianhead Tech. College,,Abnormal Psychology,
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,Wis. Indianhead Tech. College,"UCTA, EL",Intro to Ethics: Theory & App,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 170,Wis. Indianhead Tech. College,,Workplace Reality,5
UW Branch Campus,L,2.00,GEN EL,General Elective,SOCSCI (809) 171,Wis. Indianhead Tech. College,SS,Workplace Reality,
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,Wis. Indianhead Tech. College,"SS, UCTA",Intro to Diversity Studies,22
UW Branch Campus,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,Wis. Indianhead Tech. College,SS,Social Problems,
UW Branch Campus,L,3.00,ECO EL,Economics Elective,SOCSCI (809) 175,Wis. Indianhead Tech. College,SS,Economics,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 177,Wis. Indianhead Tech. College,,American Institutions,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 185,Wis. Indianhead Tech. College,,Contemporary Social Issues,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 186,Wis. Indianhead Tech. College,,Contemporary Political Issues,5
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,Wis. Indianhead Tech. College,SS,Developmental Psychology,
UW Branch Campus,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,Wis. Indianhead Tech. College,"UCTA,SS",Economics,22
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,Wis. Indianhead Tech. College,"SS, UCTA",Intro to Sociology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,Wis. Indianhead Tech. College,SS,Contemporary American Society,
UW Branch Campus,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,Wis. Indianhead Tech. College,"UCTA,SS",Intro to Psychology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,Wis. Indianhead Tech. College,SS,Psychology of Human Relations,
UW-Eau Claire,L,1.00,C S 100,Computr Info Tech,COMPSOFT (103) 129,Wis. Indianhead Tech. College,GE-IB,Introduction to Ms Office,
UW-Eau Claire,U,2.00,ART 312,Dgtl Img & Des,COMPSOFT (103) 156,Wis. Indianhead Tech. College,"GE-IV, LE-K4, LE-S3",Adobe Photoshop,
UW-Eau Claire,,4.00,NDC,No Degree Credit,ACCTG (101) 101,Wis. Indianhead Tech. College,,Financial Accounting 1,5
UW-Eau Claire,L,4.00,ACCT 201,Intro to Acctg,ACCTG (101) 101,Wis. Indianhead Tech. College,,Financial Accounting 1,
UW-Eau Claire,,4.00,NDC,No Degree Credit,ACCTG (101) 103,Wis. Indianhead Tech. College,,Financial Accounting 2,5
UW-Eau Claire,U,4.00,ACCT 312,Managerial Acctg,ACCTG (101) 103,Wis. Indianhead Tech. College,,Financial Accounting 2,
UW-Eau Claire,,4.00,NDC,No Degree Credit,ACCTG (101) 105,Wis. Indianhead Tech. College,,Intermediate Accounting 1,5
UW-Eau Claire,L,4.00,ACCT EL,Accounting Elective,ACCTG (101) 105,Wis. Indianhead Tech. College,,Intermediate Accounting 1,
UW-Eau Claire,,3.00,NDC,No Degree Credit,ACCTG (101) 106,Wis. Indianhead Tech. College,,Computerized Accounting,5
UW-Eau Claire,,4.00,NDC,No Degree Credit,ACCTG (101) 107,Wis. Indianhead Tech. College,,Intermediate Accounting 2,5
UW-Eau Claire,L,4.00,ACCT EL,Accounting Elective,ACCTG (101) 107,Wis. Indianhead Tech. College,,Intermediate Accounting 2,
UW-Eau Claire,L,4.00,ACCT EL,Accounting Elective,ACCTG (101) 121,Wis. Indianhead Tech. College,,Cost and Managerial Accounting,
UW-Eau Claire,,4.00,NDC,No Degree Credit,ACCTG (101) 123,Wis. Indianhead Tech. College,,Income Tax Accounting,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,ACCTG (101) 124,Wis. Indianhead Tech. College,,Payroll Systems and Accounting,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,ACCTG (101) 130,Wis. Indianhead Tech. College,,Accounting Systems,5
UW-Eau Claire,L,2.00,ACCT EL,Accounting Elective,ACCTG (101) 176,Wis. Indianhead Tech. College,,Financial Accounting 1a,
UW-Eau Claire,L,2.00,ACCT 201,Intro to Acctg,ACCTG (101) 177,Wis. Indianhead Tech. College,,Financial Accounting 1b,
UW-Eau Claire,L,3.00,BSAD 100,Intro Bus World,RBUS (105) 100,Wis. Indianhead Tech. College,,Introduction to Business,
UW-Eau Claire,,1.00,GEN CONF,General Confer,RBUS (105) 115,Wis. Indianhead Tech. College,,Professional Profile,"2, 11"
UW-Eau Claire,U,3.00,BSAD 306,Business Law,RBUS (105) 125,Wis. Indianhead Tech. College,,Business Law,
UW-Eau Claire,L,3.00,BSAD 125,Essn Marketing,MKTG (104) 102,Wis. Indianhead Tech. College,,Marketing Principles,
UW-Eau Claire,,3.00,GEN CONF,General Confer,MKTG (104) 104,Wis. Indianhead Tech. College,,Selling Principles,11
UW-Eau Claire,L,3.00,MGMT EL,Management Elective,MKTG (104) 191,Wis. Indianhead Tech. College,,Customer Service Management,
UW-Eau Claire,L,3.00,FIN EL,Finance Elective,FIN PLAN (114) 103,Wis. Indianhead Tech. College,,Money and Banking,
UW-Eau Claire,L,3.00,FIN EL,Finance Elective,FIN PLAN (114) 107,Wis. Indianhead Tech. College,,Principles of Finance,
UW-Eau Claire,L,3.00,FIN EL,Finance Elective,FIN PLAN (114) 125,Wis. Indianhead Tech. College,,Personal Finance,
UW-Eau Claire,L,3.00,FIN EL,Finance Elective,FIN PLAN (114) 150,Wis. Indianhead Tech. College,,Investments,
UW-Eau Claire,L,3.00,FIN EL,Finance Elective,FIN PLAN (114) 192,Wis. Indianhead Tech. College,,Principles of Insurance,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 112,Wis. Indianhead Tech. College,NS,Principles of Sustainability,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,Wis. Indianhead Tech. College,"NS, LS, UCTA",General Biology,22
UW Branch Campus,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,Wis. Indianhead Tech. College,"UCTA,LS,NS",General Chemistry,22
UW Branch Campus,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,Wis. Indianhead Tech. College,"UCTA,LS,NS",General Physics 1,22
UW Branch Campus,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,Wis. Indianhead Tech. College,"LS,NS",Gen Anatomy & Physiology,220
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,Wis. Indianhead Tech. College,"NS, LS",Adv Anatomy & Physiology,220
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,Wis. Indianhead Tech. College,NS,Intro to Biochemistry,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,Wis. Indianhead Tech. College,NS,Microbiology,
UW Branch Campus,L,4.00,BIO 180,Intro to Human Biology,NATSCI (806) 198,Wis. Indianhead Tech. College,,Human Biology,
UW-Eau Claire,L,3.00,BSAD 115,Essn Hr Mgmt,HRMGT (116) 100,Wis. Indianhead Tech. College,,Human Resource Management,
UW-Eau Claire,L,3.00,C S 260,Database Systems,ITDEV (152) 100,Wis. Indianhead Tech. College,,Database Concepts and Sql,
UW-Eau Claire,U,3.00,C S 318,Web Page Design,ITDEV (152) 101,Wis. Indianhead Tech. College,GE-IB,Web Design and Development,
UW-Eau Claire,U,3.00,C S 318,Web Page Design,ITDEV (152) 102,Wis. Indianhead Tech. College,GE-IB,Adv Web Site Development,
UW-Eau Claire,L,3.00,C S 145,Programming New,ITDEV (152) 106,Wis. Indianhead Tech. College,,Java Programming - Beginning,
UW-Eau Claire,U,3.00,C S 319,Intro Web Prog,ITDEV (152) 112,Wis. Indianhead Tech. College,GE-IB,Server-Side Web Development,
UW-Eau Claire,L,3.00,C S 268,Web Systems,ITDEV (152) 113,Wis. Indianhead Tech. College,,Applications Development,
UW-Eau Claire,L,2.00,BSAD 140,Essn Inform Sys,ITMCS (154) 102,Wis. Indianhead Tech. College,,Operating Systems 1,
UW-Eau Claire,L,3.00,NRSG 220,Language of Healt,OFFTECH (106) 130,Wis. Indianhead Tech. College,,Medical Terminology 1,
UW-Eau Claire,L,3.00,BSAD EL,Business Administration Elective,OFFTECH (106) 139,Wis. Indianhead Tech. College,,Administrative Office Procedur,
UW-Eau Claire,L,2.00,BSAD EL,Business Administration Elective,OFFTECH (106) 165,Wis. Indianhead Tech. College,,Information Management,
UW-Eau Claire,,3.00,NDC,No Degree Credit,EARLYCHLD (307) 148,Wis. Indianhead Tech. College,,Ece: Foundations of Ece,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,EARLYCHLD (307) 151,Wis. Indianhead Tech. College,,Ece: Infant & Toddler Dev,5
